_Country_Colors,_Country_Params,Country Code,Country,Dimension,G20,Momentum (Momentum),Region,Score,GROWTH,Median line
Country 1,TRUE,ALB,Albania,SECURE,,ADVANCING,Emerging and Developing Europe,60.34246198,0.068140779,67.12
Country 1,TRUE,ALB,Albania,SUSTAINABLE,,LEADING,Emerging and Developing Europe,86.6746721,0.011627406,61.3
Country 1,TRUE,ALB,Albania,EQUITABLE,,LEADING,Emerging and Developing Europe,67.86331308,0.00313675,64.71
,FALSE,DZA,Algeria,SECURE,,LEADING,"Middle East, North Africa and Pakistan",70.22041858,0.002271998,67.12
,FALSE,DZA,Algeria,SUSTAINABLE,,AT RISK,"Middle East, North Africa and Pakistan",48.51977313,-0.005058778,61.3
,FALSE,DZA,Algeria,EQUITABLE,,STABILIZING,"Middle East, North Africa and Pakistan",75.74098423,-9.03E-05,64.71
,FALSE,AGO,Angola,SECURE,,STABILIZING,Sub-Saharan Africa,74.36050874,-0.015142415,67.12
,FALSE,AGO,Angola,SUSTAINABLE,,LEADING,Sub-Saharan Africa,74.42924477,0.008180238,61.3
,FALSE,AGO,Angola,EQUITABLE,,AT RISK,Sub-Saharan Africa,43.07767781,-0.029923286,64.71
,FALSE,ARG,Argentina,SECURE,G20,ADVANCING,Latin America and the Caribbean,62.9178981,0.011580309,67.12
,FALSE,ARG,Argentina,SUSTAINABLE,G20,ADVANCING,Latin America and the Caribbean,58.80812558,0.005531725,61.3
,FALSE,ARG,Argentina,EQUITABLE,G20,STABILIZING,Latin America and the Caribbean,67.55340598,-0.017390219,64.71
,FALSE,ARM,Armenia,SECURE,,AT RISK,Commonwealth of Independent States,53.812277,-0.007961994,67.12
,FALSE,ARM,Armenia,SUSTAINABLE,,AT RISK,Commonwealth of Independent States,56.8954278,-0.01603216,61.3
,FALSE,ARM,Armenia,EQUITABLE,,STABILIZING,Commonwealth of Independent States,69.2874277,-0.003188815,64.71
,FALSE,AUS,Australia,SECURE,G20,STABILIZING,Advanced Economies,85.00109109,-0.00050246,67.12
,FALSE,AUS,Australia,SUSTAINABLE,G20,ADVANCING,Advanced Economies,35.04856921,0.039061939,61.3
,FALSE,AUS,Australia,EQUITABLE,G20,STABILIZING,Advanced Economies,69.17216506,-0.006940461,64.71
,FALSE,AUT,Austria,SECURE,,LEADING,Advanced Economies,74.54123127,0.004742211,67.12
,FALSE,AUT,Austria,SUSTAINABLE,,LEADING,Advanced Economies,64.01086987,0.015967669,61.3
,FALSE,AUT,Austria,EQUITABLE,,STABILIZING,Advanced Economies,69.08585405,-0.001882596,64.71
,FALSE,AZE,Azerbaijan,SECURE,,LEADING,Commonwealth of Independent States,82.80561225,0.006632865,67.12
,FALSE,AZE,Azerbaijan,SUSTAINABLE,,AT RISK,Commonwealth of Independent States,56.78047411,-0.007109766,61.3
,FALSE,AZE,Azerbaijan,EQUITABLE,,LEADING,Commonwealth of Independent States,69.10385104,0.003805787,64.71
,FALSE,BHR,Bahrain,SECURE,,AT RISK,"Middle East, North Africa and Pakistan",67.20237669,-0.007588383,67.12
,FALSE,BHR,Bahrain,SUSTAINABLE,,AT RISK,"Middle East, North Africa and Pakistan",14.83787205,-0.040163302,61.3
,FALSE,BHR,Bahrain,EQUITABLE,,STABILIZING,"Middle East, North Africa and Pakistan",73.85055974,-0.032469495,64.71
,FALSE,BGD,Bangladesh,SECURE,,ADVANCING,Emerging and Developing Asia,56.24238997,0.014919193,67.12
,FALSE,BGD,Bangladesh,SUSTAINABLE,,LEADING,Emerging and Developing Asia,61.39356478,0.008158627,61.3
,FALSE,BGD,Bangladesh,EQUITABLE,,AT RISK,Emerging and Developing Asia,52.63089256,-0.024631256,64.71
,FALSE,BEL,Belgium,SECURE,,AT RISK,Advanced Economies,59.95872574,-0.009019623,67.12
,FALSE,BEL,Belgium,SUSTAINABLE,,ADVANCING,Advanced Economies,58.29224917,0.027986588,61.3
,FALSE,BEL,Belgium,EQUITABLE,,AT RISK,Advanced Economies,60.62308694,-5.54E-05,64.71
