Country,Country Code,Region,Year,Population
Albania,ALB,Emerging and Developing Europe,2014,2889104
Albania,ALB,Emerging and Developing Europe,2015,2880703
Albania,ALB,Emerging and Developing Europe,2016,2876101
Albania,ALB,Emerging and Developing Europe,2017,2873457
Albania,ALB,Emerging and Developing Europe,2018,2866376
Albania,ALB,Emerging and Developing Europe,2019,2854191
Albania,ALB,Emerging and Developing Europe,2020,2837849
Albania,ALB,Emerging and Developing Europe,2021,2811666
Albania,ALB,Emerging and Developing Europe,2022,2811666
Albania,ALB,Emerging and Developing Europe,2023,2811666
Algeria,DZA,"Middle East, North Africa and Pakistan",2014,38760168
Algeria,DZA,"Middle East, North Africa and Pakistan",2015,39543154
Algeria,DZA,"Middle East, North Africa and Pakistan",2016,40339329
Algeria,DZA,"Middle East, North Africa and Pakistan",2017,41136546
Algeria,DZA,"Middle East, North Africa and Pakistan",2018,41927007
Algeria,DZA,"Middle East, North Africa and Pakistan",2019,42705368
Algeria,DZA,"Middle East, North Africa and Pakistan",2020,43451666
Algeria,DZA,"Middle East, North Africa and Pakistan",2021,44177969
Algeria,DZA,"Middle East, North Africa and Pakistan",2022,44177969
Algeria,DZA,"Middle East, North Africa and Pakistan",2023,44177969
Angola,AGO,Sub-Saharan Africa,2014,27128337
Angola,AGO,Sub-Saharan Africa,2015,28127721
Angola,AGO,Sub-Saharan Africa,2016,29154746
Angola,AGO,Sub-Saharan Africa,2017,30208628
Angola,AGO,Sub-Saharan Africa,2018,31273533
Angola,AGO,Sub-Saharan Africa,2019,32353588
Angola,AGO,Sub-Saharan Africa,2020,33428486
Angola,AGO,Sub-Saharan Africa,2021,34503774
Angola,AGO,Sub-Saharan Africa,2022,34503774
Angola,AGO,Sub-Saharan Africa,2023,34503774
Argentina,ARG,Latin America and the Caribbean,2014,42669500
Argentina,ARG,Latin America and the Caribbean,2015,43131966
Argentina,ARG,Latin America and the Caribbean,2016,43590368
Argentina,ARG,Latin America and the Caribbean,2017,44044811
Argentina,ARG,Latin America and the Caribbean,2018,44494502
Argentina,ARG,Latin America and the Caribbean,2019,44938712
Argentina,ARG,Latin America and the Caribbean,2020,45376763
Argentina,ARG,Latin America and the Caribbean,2021,45808747
Argentina,ARG,Latin America and the Caribbean,2022,45808747
Argentina,ARG,Latin America and the Caribbean,2023,45808747
Armenia,ARM,Commonwealth of Independent States,2014,2889930
Armenia,ARM,Commonwealth of Independent States,2015,2878595
Armenia,ARM,Commonwealth of Independent States,2016,2865835
Armenia,ARM,Commonwealth of Independent States,2017,2851923
Armenia,ARM,Commonwealth of Independent States,2018,2836557
Armenia,ARM,Commonwealth of Independent States,2019,2820602
Armenia,ARM,Commonwealth of Independent States,2020,2805608
Armenia,ARM,Commonwealth of Independent States,2021,2790974
Armenia,ARM,Commonwealth of Independent States,2022,2790974
Armenia,ARM,Commonwealth of Independent States,2023,2790974
Australia,AUS,Advanced Economies,2014,23475686
Australia,AUS,Advanced Economies,2015,23815995
Australia,AUS,Advanced Economies,2016,24190907
Australia,AUS,Advanced Economies,2017,24594202
Australia,AUS,Advanced Economies,2018,24966643
Australia,AUS,Advanced Economies,2019,25340217
Australia,AUS,Advanced Economies,2020,25655289
Australia,AUS,Advanced Economies,2021,25688079
Australia,AUS,Advanced Economies,2022,25688079
Australia,AUS,Advanced Economies,2023,25688079
Austria,AUT,Advanced Economies,2014,8546356
Austria,AUT,Advanced Economies,2015,8642699
Austria,AUT,Advanced Economies,2016,8736668
Austria,AUT,Advanced Economies,2017,8797566
Austria,AUT,Advanced Economies,2018,8840521
Austria,AUT,Advanced Economies,2019,8879920
Austria,AUT,Advanced Economies,2020,8916864
Austria,AUT,Advanced Economies,2021,8955797
Austria,AUT,Advanced Economies,2022,8955797
Austria,AUT,Advanced Economies,2023,8955797
Azerbaijan,AZE,Commonwealth of Independent States,2014,9535079
Azerbaijan,AZE,Commonwealth of Independent States,2015,9649341
Azerbaijan,AZE,Commonwealth of Independent States,2016,9757812
Azerbaijan,AZE,Commonwealth of Independent States,2017,9854033
Azerbaijan,AZE,Commonwealth of Independent States,2018,9939771
Azerbaijan,AZE,Commonwealth of Independent States,2019,10024283
Azerbaijan,AZE,Commonwealth of Independent States,2020,10093121
Azerbaijan,AZE,Commonwealth of Independent States,2021,10137750
Azerbaijan,AZE,Commonwealth of Independent States,2022,10137750
Azerbaijan,AZE,Commonwealth of Independent States,2023,10137750
Bahrain,BHR,"Middle East, North Africa and Pakistan",2014,1311134
Bahrain,BHR,"Middle East, North Africa and Pakistan",2015,1362142
Bahrain,BHR,"Middle East, North Africa and Pakistan",2016,1409661
Bahrain,BHR,"Middle East, North Africa and Pakistan",2017,1456834
Bahrain,BHR,"Middle East, North Africa and Pakistan",2018,1487340
Bahrain,BHR,"Middle East, North Africa and Pakistan",2019,1494188
Bahrain,BHR,"Middle East, North Africa and Pakistan",2020,1477469
Bahrain,BHR,"Middle East, North Africa and Pakistan",2021,1463265
Bahrain,BHR,"Middle East, North Africa and Pakistan",2022,1463265
Bahrain,BHR,"Middle East, North Africa and Pakistan",2023,1463265
Bangladesh,BGD,Emerging and Developing Asia,2014,155961299
Bangladesh,BGD,Emerging and Developing Asia,2015,157830000
Bangladesh,BGD,Emerging and Developing Asia,2016,159784568
Bangladesh,BGD,Emerging and Developing Asia,2017,161793964
Bangladesh,BGD,Emerging and Developing Asia,2018,163683958
Bangladesh,BGD,Emerging and Developing Asia,2019,165516222
Bangladesh,BGD,Emerging and Developing Asia,2020,167420951
Bangladesh,BGD,Emerging and Developing Asia,2021,169356251
Bangladesh,BGD,Emerging and Developing Asia,2022,169356251
Bangladesh,BGD,Emerging and Developing Asia,2023,169356251
Belgium,BEL,Advanced Economies,2014,11209057
Belgium,BEL,Advanced Economies,2015,11274196
Belgium,BEL,Advanced Economies,2016,11331422
Belgium,BEL,Advanced Economies,2017,11375158
Belgium,BEL,Advanced Economies,2018,11427054
Belgium,BEL,Advanced Economies,2019,11488980
Belgium,BEL,Advanced Economies,2020,11538604
Belgium,BEL,Advanced Economies,2021,11592952
Belgium,BEL,Advanced Economies,2022,11592952
Belgium,BEL,Advanced Economies,2023,11592952
Bolivia,BOL,Latin America and the Caribbean,2014,10916987
Bolivia,BOL,Latin America and the Caribbean,2015,11090085
Bolivia,BOL,Latin America and the Caribbean,2016,11263015
Bolivia,BOL,Latin America and the Caribbean,2017,11435533
Bolivia,BOL,Latin America and the Caribbean,2018,11606905
Bolivia,BOL,Latin America and the Caribbean,2019,11777315
Bolivia,BOL,Latin America and the Caribbean,2020,11936162
Bolivia,BOL,Latin America and the Caribbean,2021,12079472
Bolivia,BOL,Latin America and the Caribbean,2022,12079472
Bolivia,BOL,Latin America and the Caribbean,2023,12079472
Bosnia and Herzegovina,BIH,Emerging and Developing Europe,2014,3571068
Bosnia and Herzegovina,BIH,Emerging and Developing Europe,2015,3524324
Bosnia and Herzegovina,BIH,Emerging and Developing Europe,2016,3480986
Bosnia and Herzegovina,BIH,Emerging and Developing Europe,2017,3440027
Bosnia and Herzegovina,BIH,Emerging and Developing Europe,2018,3400129
Bosnia and Herzegovina,BIH,Emerging and Developing Europe,2019,3360711
Bosnia and Herzegovina,BIH,Emerging and Developing Europe,2020,3318407
Bosnia and Herzegovina,BIH,Emerging and Developing Europe,2021,3270943
Bosnia and Herzegovina,BIH,Emerging and Developing Europe,2022,3270943
Bosnia and Herzegovina,BIH,Emerging and Developing Europe,2023,3270943
Botswana,BWA,Sub-Saharan Africa,2014,2260376
Botswana,BWA,Sub-Saharan Africa,2015,2305171
Botswana,BWA,Sub-Saharan Africa,2016,2352416
Botswana,BWA,Sub-Saharan Africa,2017,2401840
Botswana,BWA,Sub-Saharan Africa,2018,2451409
Botswana,BWA,Sub-Saharan Africa,2019,2499702
Botswana,BWA,Sub-Saharan Africa,2020,2546402
Botswana,BWA,Sub-Saharan Africa,2021,2588423
Botswana,BWA,Sub-Saharan Africa,2022,2588423
Botswana,BWA,Sub-Saharan Africa,2023,2588423
Brazil,BRA,Latin America and the Caribbean,2014,203459650
Brazil,BRA,Latin America and the Caribbean,2015,205188205
Brazil,BRA,Latin America and the Caribbean,2016,206859578
Brazil,BRA,Latin America and the Caribbean,2017,208504960
Brazil,BRA,Latin America and the Caribbean,2018,210166592
Brazil,BRA,Latin America and the Caribbean,2019,211782878
Brazil,BRA,Latin America and the Caribbean,2020,213196304
Brazil,BRA,Latin America and the Caribbean,2021,214326223
Brazil,BRA,Latin America and the Caribbean,2022,214326223
Brazil,BRA,Latin America and the Caribbean,2023,214326223
Brunei Darussalam,BRN,Emerging and Developing Asia,2014,416656
Brunei Darussalam,BRN,Emerging and Developing Asia,2015,421437
Brunei Darussalam,BRN,Emerging and Developing Asia,2016,425994
Brunei Darussalam,BRN,Emerging and Developing Asia,2017,430276
Brunei Darussalam,BRN,Emerging and Developing Asia,2018,434274
Brunei Darussalam,BRN,Emerging and Developing Asia,2019,438048
Brunei Darussalam,BRN,Emerging and Developing Asia,2020,441725
Brunei Darussalam,BRN,Emerging and Developing Asia,2021,445373
Brunei Darussalam,BRN,Emerging and Developing Asia,2022,445373
Brunei Darussalam,BRN,Emerging and Developing Asia,2023,445373
Bulgaria,BGR,Emerging and Developing Europe,2014,7223938
Bulgaria,BGR,Emerging and Developing Europe,2015,7177991
Bulgaria,BGR,Emerging and Developing Europe,2016,7127822
Bulgaria,BGR,Emerging and Developing Europe,2017,7075947
Bulgaria,BGR,Emerging and Developing Europe,2018,7025037
Bulgaria,BGR,Emerging and Developing Europe,2019,6975761
Bulgaria,BGR,Emerging and Developing Europe,2020,6934015
Bulgaria,BGR,Emerging and Developing Europe,2021,6877743
Bulgaria,BGR,Emerging and Developing Europe,2022,6877743
Bulgaria,BGR,Emerging and Developing Europe,2023,6877743
Cambodia,KHM,Emerging and Developing Asia,2014,15210817
